id,action,user_auth_token_id,client_ip,auth_token_hash,created_at,path,user_agent
615539,rotate,17866,50.83.78.7,hBRfc...,2022-02-26 18:43:01 UTC,/manifest.webmanifest,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"
600579,rotate,17845,50.83.78.7,2/eDF...,2021-12-19 18:14:08 UTC,/t/using-drafts-templates/3728,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4758.10 Safari/537.36"
600700,rotate,17864,104.28.103.121,gQcan...,2021-12-20 05:06:45 UTC,/t/tip-insert-result-of-a-shortcuts-app-shortcut-in-current-draft/2666,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15"
574610,rotate,17038,107.117.168.102,g0WYv...,2021-09-24 00:59:05 UTC,/t/using-drafts-with-obsidian/11221,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1"
574611,seen token,17038,107.117.168.102,g0WYv...,2021-09-24 00:59:06 UTC,/message-bus/8f75ea5c10fc4065bed6b0b8d7f11617/poll,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1"
574614,generate,17044,107.117.168.102,s6IF5...,2021-09-24 01:19:29 UTC,/auth/twitter/callback,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/605.1.15 Command/3.9.0"
574615,seen token,17044,107.117.168.102,s6IF5...,2021-09-24 01:19:29 UTC,/,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/605.1.15 Command/3.9.0"
600722,rotate,17864,172.225.25.49,O+plo...,2021-12-20 09:20:49 UTC,/t/tip-publish-a-workspace-to-files-with-shortcuts/11445,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15"
600628,rotate,17864,104.28.104.118,zA3+4...,2021-12-19 22:04:47 UTC,/t/using-drafts-templates/3728,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15"
600644,rotate,17864,104.28.103.118,MSJgK...,2021-12-19 23:10:49 UTC,/t/using-drafts-templates/3728,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15"
